Name,Session ID,Types,Description,Session begin date (UTC),Duration (hh:mm:ss),Time (hh:mm:ss),Position,Acceleration Load (load | high),Acceleration Load (load | low),Acceleration Load (load | medium),Acceleration Load (load | very high),Acceleration Load (max.),Acceleration Load (time | high) (hh:mm:ss),Acceleration Load (time | low) (hh:mm:ss),Acceleration Load (time | medium) (hh:mm:ss),Acceleration Load (time | very high) (hh:mm:ss),Acceleration Load / min,Anaerobic Activity (time) (hh:mm:ss),High Intensity Effort/Min,Jump Load (J),Jump Load / min (J),Jump Load per mass (J/kg),Jump Load per mass / min (J/kg),Total Workload,Changes of Orientation,Changes of Orientation / min,Exertions,Exertions (high),Exertions (low),Exertions (medium),Exertions (very high),Exertions / min,Exertions / min (high),Exertions / min (low),Exertions / min (medium),Exertions / min (very high),Jumps,Jumps (high),Jumps (low),Jumps (medium),Jumps (very high),Jumps (very low),Jumps / min,Jumps / min (high),Jumps / min (low),Jumps / min (medium),Jumps / min (very high),Jumps / min (very low),Jump Height,mRSI
RR0018,158,Practice,Preseason Morning Practice 9,08/17/2023,7256,5062,Outside Hitter,23.84,294.25,91.27,7.14,7.47,77,4578,381,23,0.82,75,4.94,27335.28,324.01,781.01,9.26,416.5,7,0.08,69,21,2,44,2,0.82,0.25,0.02,0.52,0.02,79,41,2,15,19,2,0.94,0.49,0.02,0.18,0.23,0.02,,
RR0018,159,Practice,Day Before Scrimmage,08/18/2023,6011,5943,Outside Hitter,24.59,345.58,95.94,10.27,6.78,80,5440,390,31,0.8,85,4.81,27118.17,273.8,774.8,7.82,476.38,14,0.14,74,29,3,39,3,0.75,0.29,0.03,0.39,0.03,81,33,13,5,26,4,0.82,0.33,0.13,0.05,0.26,0.04,,
RR0018,160,Scrimmage,Maroon vs. Gold,08/19/2023,8799,6606,Outside Hitter,25.42,393.12,93.31,10.25,7.23,81,6097,398,29,0.79,80,4.74,31341.71,284.67,895.48,8.13,522.11,10,0.09,64,21,4,33,6,0.58,0.19,0.04,0.3,0.05,93,35,8,12,33,5,0.84,0.32,0.07,0.11,0.3,0.05,,
RR0018,161,Practice,Monday (8/21),08/21/2023,7917,7879,Outside Hitter,33.82,484.21,110.11,7.19,6.27,119,7280,454,24,0.81,103,4.84,43245.14,329.31,1235.58,9.41,635.33,18,0.14,101,23,7,71,0,0.77,0.18,0.05,0.54,0,126,63,11,13,37,2,0.96,0.48,0.08,0.1,0.28,0.02,,
RR0018,162,Practice,Tuesday (8/22),08/22/2023,7752,5168,Outside Hitter,23.37,336.18,82.98,6.85,6.46,84,4721,353,25,0.87,80,5.22,34017.89,394.95,971.94,11.28,449.37,4,0.05,73,28,0,45,0,0.85,0.33,0,0.52,0,101,37,10,16,34,4,1.17,0.43,0.12,0.19,0.39,0.05,,
RR0018,168,Practice,Tuesday (8/29),08/29/2023,8575,6854,Outside Hitter,25.58,369.17,84.18,5.41,6.06,88,6387,359,19,0.71,77,4.24,33030.56,289.16,943.73,8.26,484.34,8,0.07,76,21,5,50,0,0.67,0.18,0.04,0.44,0,97,50,8,12,25,2,0.85,0.44,0.07,0.11,0.22,0.02,,
RR0018,169,Practice,Wednesday (8/30),08/30/2023,8204,7344,Outside Hitter,30.88,447.12,111.52,8.04,6.61,108,6757,472,29,0.81,102,4.88,41816.68,341.64,1194.76,9.76,597.56,9,0.07,96,36,4,54,2,0.78,0.29,0.03,0.44,0.02,119,68,4,10,33,4,0.97,0.56,0.03,0.08,0.27,0.03,,
RR0018,173,Practice,Tuesday (9/5),09/05/2023,8216,6609,Outside Hitter,35.69,384.99,102.61,9.7,6.79,121,6055,415,28,0.81,108,4.84,41908.37,380.47,1197.38,10.87,532.99,19,0.17,97,23,4,67,3,0.88,0.21,0.04,0.61,0.03,126,55,12,15,37,7,1.14,0.5,0.11,0.14,0.34,0.06,,
RR0018,174,Practice,Wednesday (9/6),09/06/2023,4838,4787,Outside Hitter,22.25,305.79,73.61,5.87,6.13,75,4384,309,17,0.85,63,5.11,25145.56,315.17,718.44,9,407.52,2,0.03,59,17,2,40,0,0.74,0.21,0.03,0.5,0,79,35,9,11,18,6,0.99,0.44,0.11,0.14,0.23,0.08,,
RR0018,181,Practice,Monday (9/11),9/11/23,8318,7303,Outside Hitter,40.43,440.26,130.35,13.45,6.55,138,6595,531,42,0.85,138,5.13,54516.31,447.89,1557.61,12.8,624.49,6,0.05,125,43,4,75,3,1.03,0.35,0.03,0.62,0.02,145,58,8,9,69,1,1.19,0.48,0.07,0.07,0.57,0.01,,
RR0018,182,Practice,Tuesday (9/12),9/12/23,5337,5278,Outside Hitter,30.68,317.53,89.66,5.6,6.05,104,4795,362,15,0.84,80,5.04,31282.82,355.62,893.79,10.16,443.47,11,0.13,74,10,5,58,1,0.84,0.11,0.06,0.66,0.01,94,48,10,11,22,3,1.07,0.55,0.11,0.13,0.25,0.03,,
RR0018,183,Practice,Preseason Morning Practice 1,08/08/2023,02:19:20,01:43:43,Outside Hitter,30.03,392.29,121.86,10.04,7,00:01:37,01:32:54,00:08:38,00:00:32,0.89,00:01:30,5.34,34912.11,336.56,997.49,9.62,554.22,10,0.1,74,33,4,34,3,0.71,0.32,0.04,0.33,0.03,107,47,12,21,25,2,1.03,0.45,0.12,0.2,0.24,0.02,,
RR0018,184,Practice,Preseason Afternoon Practice 1,08/08/2023,01:57:08,01:56:51,Outside Hitter,19.61,384.33,130.06,4.91,6.34,00:01:14,01:46:12,00:09:02,00:00:20,0.77,00:01:09,4.61,28519.64,244.04,814.85,6.97,538.91,1,0.01,69,21,4,44,0,0.59,0.18,0.03,0.38,0,91,46,6,22,13,4,0.78,0.39,0.05,0.19,0.11,0.03,,
RR0018,185,Practice,Preseason Morning Practice 2,08/09/2023,02:48:05,02:04:04,Outside Hitter,36.19,449.13,144.32,15.6,6.94,00:01:52,01:51:06,00:10:08,00:00:57,0.87,00:02:13,5.2,49252.03,396.98,1407.2,11.34,645.25,6,0.05,117,57,5,45,10,0.94,0.46,0.04,0.36,0.08,139,50,10,14,61,4,1.12,0.4,0.08,0.11,0.49,0.03,,
RR0018,186,Practice,Preseason Afternoon Practice 2,08/09/2023,01:38:12,01:37:53,Outside Hitter,15.35,347.71,80.18,1.25,5.6,00:00:55,01:30:52,00:05:58,00:00:05,0.76,00:00:37,4.54,15968.65,163.11,456.25,4.66,444.47,0,0,43,5,3,35,0,0.44,0.05,0.03,0.36,0,51,38,5,6,0,2,0.52,0.39,0.05,0.06,0,0.02,,
RR0018,188,Practice,Preseason Morning Practice 3,08/10/2023,02:23:55,01:15:27,Outside Hitter,28.6,320.37,91.17,11.22,6.71,00:01:35,01:06:50,00:06:31,00:00:39,1,00:01:43,5.98,41053.76,544.1,1172.96,15.55,451.36,7,0.09,92,40,3,43,6,1.22,0.53,0.04,0.57,0.08,119,49,8,20,40,2,1.58,0.65,0.11,0.27,0.53,0.03,,
RR0018,188,Practice,Monday (9/18),09/18/2023,8393,6528,Outside Hitter,29.3,392.29,88.4,8.19,6.45,99,6029,370,28,0.79,98,4.76,38801.34,356.63,1108.61,10.19,518.18,7,0.06,91,28,4,58,1,0.84,0.26,0.04,0.53,0.01,106,46,8,6,45,1,0.97,0.42,0.07,0.06,0.41,0.01,,
RR0018,189,Practice,Preseason Afternoon Practice 3,08/10/2023,01:45:12,01:44:40,Outside Hitter,7.91,360.64,68.14,0.99,5.73,00:00:32,01:39:02,00:04:59,00:00:04,0.7,00:00:26,4.18,10466.42,99.98,299.04,2.86,437.68,1,0.01,29,5,0,24,0,0.28,0.05,0,0.23,0,34,22,2,8,0,2,0.32,0.21,0.02,0.08,0,0.02,,
RR0018,190,Practice,Preseason Morning Practice 4,08/11/2023,02:28:16,01:33:11,Outside Hitter,30.3,394.01,119.22,7.46,6.57,00:01:43,01:22:45,00:08:21,00:00:26,0.99,00:01:29,5.91,41580.29,446.14,1188.01,12.75,550.99,13,0.14,86,27,6,51,2,0.92,0.29,0.06,0.55,0.02,126,68,14,17,24,3,1.35,0.73,0.15,0.18,0.26,0.03,,
RR0018,191,Practice,Preseason Morning Practice 5,08/12/2023,02:16:33,02:03:46,Outside Hitter,21.17,331.51,72,5.44,6.69,00:01:10,01:57:17,00:04:57,00:00:18,0.58,00:01:07,3.48,26728.51,215.96,763.67,6.17,430.1,11,0.09,64,19,1,42,2,0.52,0.15,0.01,0.34,0.02,79,42,7,6,21,3,0.64,0.34,0.06,0.05,0.17,0.02,,
RR0018,191,Match,University of Arizona,9/21/23,6129,3141,Outside Hitter,13.03,169.9,42.23,5.04,6.53,42,2905,175,16,0.73,43,4.4,17086.99,326.4,488.2,9.33,230.19,10,0.19,35,18,1,15,1,0.67,0.34,0.02,0.29,0.02,46,13,2,3,26,2,0.88,0.25,0.04,0.06,0.5,0.04,,
RR0018,192,Practice,Preseason Afternoon Practice 4,08/12/2023,01:43:25,01:43:16,Outside Hitter,11.72,388.13,93.18,1.42,5.91,00:00:43,01:35:38,00:06:46,00:00:06,0.8,00:00:33,4.79,16180.89,156.67,462.31,4.48,494.45,0,0,32,8,0,24,0,0.31,0.08,0,0.23,0,58,28,17,9,1,3,0.56,0.27,0.16,0.09,0.01,0.03,,
RR0018,193,Practice,Preseason Morning Practice 6,08/13/2023,02:47:43,02:45:34,Outside Hitter,39.43,575.52,137.54,14.88,7.7,00:02:12,02:32:59,00:09:29,00:00:50,0.77,00:02:21,4.63,52896.84,319.46,1511.34,9.13,767.37,10,0.06,130,49,6,68,7,0.79,0.3,0.04,0.41,0.04,150,64,10,18,55,3,0.91,0.39,0.06,0.11,0.33,0.02,,
RR0018,193,Match,University of Washington,09/24/2023,7577,4113,Outside Hitter,19.31,227.1,63.41,7.84,7.08,59,3769,258,24,0.77,63,4.63,21525.76,314.01,615.02,8.97,317.66,9,0.13,53,22,0,27,4,0.77,0.32,0,0.39,0.06,63,21,6,5,26,5,0.92,0.31,0.09,0.07,0.38,0.07,,
RR0018,194,Practice,Preseason Afternoon Practice 5,08/13/2023,00:59:37,00:59:19,Outside Hitter,7.71,208.98,35.91,0.1,5.22,00:00:29,00:56:01,00:02:46,00:00:00,0.71,00:00:18,4.26,11134.61,187.66,318.13,5.36,252.69,1,0.02,14,0,1,13,0,0.24,0,0.02,0.22,0,39,14,7,14,3,1,0.66,0.24,0.12,0.24,0.05,0.02,,
RR0018,194,Practice,Tuesday (9/26),09/26/2023,6871,6083,Outside Hitter,40.62,397.51,104.27,33.84,16.62,131,5455,423,72,0.95,160,5.68,52912.73,521.91,1511.79,14.91,576.25,40,0.39,129,42,6,62,19,1.27,0.41,0.06,0.61,0.19,147,60,8,16,60,3,1.45,0.59,0.08,0.16,0.59,0.03,,
RR0018,195,Practice,Wednesday (9/27),09/27/2023,7084,6458,Outside Hitter,19.66,327.07,69.42,3.3,6.03,73,6073,299,11,0.65,60,3.9,28712.38,266.76,820.35,7.62,419.46,10,0.09,61,11,2,48,0,0.57,0.1,0.02,0.45,0,88,56,8,6,13,5,0.82,0.52,0.07,0.06,0.12,0.05,,
RR0018,199,Practice,Tuesday (10/03),10/03/2023,7876,7501,Outside Hitter,41.29,473.28,127.59,20.94,7.42,130,6789,515,64,0.88,150,5.3,55778.79,446.17,1593.68,12.75,663.08,16,0.13,125,51,5,53,16,1,0.41,0.04,0.42,0.13,159,61,13,24,58,3,1.27,0.49,0.1,0.19,0.46,0.02,,
RR0018,200,Practice,Wednesday (10/4),10/04/2023,6362,5955,Outside Hitter,23.56,352.71,86.52,9.41,6.65,76,5493,357,31,0.79,83,4.76,31684.16,319.24,905.26,9.12,472.19,2,0.02,72,34,2,35,1,0.73,0.34,0.02,0.35,0.01,90,30,7,10,39,4,0.91,0.3,0.07,0.1,0.39,0.04,,
RR0018,201,Practice,Thursday (10/5),10/05/2023,5247,4021,Outside Hitter,17.37,232.55,78.56,4.93,6.56,58,3624,321,16,0.83,53,4.98,22011.44,328.45,628.9,9.38,333.41,9,0.13,50,16,0,33,1,0.75,0.24,0,0.49,0.01,67,29,10,7,20,1,1,0.43,0.15,0.1,0.3,0.01,,
RR0018,203,Match,UCLA,10/08/2023,5806,3158,Outside Hitter,11.54,156.04,47.24,6.25,6.34,33,2924,190,18,0.7,41,4.2,12472.47,236.97,356.36,6.77,221.08,10,0.19,30,17,1,12,0,0.57,0.32,0.02,0.23,0,36,9,6,2,17,2,0.68,0.17,0.11,0.04,0.32,0.04,,
RR0018,204,Practice,Tuesday (10/10),10/10/2023,7534,7257,Outside Hitter,38.1,431.53,106.42,9.01,6.23,133,6647,445,30,0.81,118,4.84,51302.17,424.16,1465.78,12.12,585.06,16,0.13,112,35,4,73,0,0.93,0.29,0.03,0.6,0,146,64,13,9,55,5,1.21,0.53,0.11,0.07,0.45,0.04,,
RR0018,205,Practice,Wednesday (10/11),10/11/2023,8473,7998,Outside Hitter,35.44,494.43,108.2,12.27,7.16,122,7376,457,41,0.81,123,4.88,49585.61,371.99,1416.73,10.63,650.34,21,0.16,113,39,2,67,5,0.85,0.29,0.02,0.5,0.04,145,61,12,13,51,8,1.09,0.46,0.09,0.1,0.38,0.06,,
RR0018,208,Practice,Tuesday (10/17),10/17/2023,7865,7562,Outside Hitter,43.48,479.01,139.49,11.3,7.74,149,6812,564,39,0.89,139,5.34,60192.35,477.59,1719.78,13.65,673.28,22,0.17,129,36,7,80,6,1.02,0.29,0.06,0.63,0.05,173,77,9,18,62,7,1.37,0.61,0.07,0.14,0.49,0.06,,
RR0018,209,Practice,Wednesday (10/18),10/18/2023,7245,7241,Outside Hitter,18.67,308.85,64.32,2.38,5.8,89,6797,344,11,0.68,64,3.27,38838.36,321.82,1109.67,9.19,394.22,2,0.02,47,5,8,34,0,0.39,0.04,0.07,0.28,0,132,58,8,24,19,23,1.09,0.48,0.07,0.2,0.16,0.19,,
